,Accuracy,Accuracy_p-value,Amount of data,Amount of data_p-value,Availability,Availability_p-value,Believability,Believability_p-value,Completeness,Completeness_p-value,Conciseness,Conciseness_p-value,Consistency,Consistency_p-value,Currency,Currency_p-value,Interlinking,Interlinking_p-value,Interpretability,Interpretability_p-value,Licensing,Licensing_p-value,Performance,Performance_p-value,Rep. Conciseness,Rep. Conciseness_p-value,Interoperability,Interoperability_p-value,Reputation,Reputation_p-value,Security,Security_p-value,Understandability,Understandability_p-value,Verifiability,Verifiability_p-value,Versatility,Versatility_p-value,Timeliness,Timeliness_p-value
Accuracy,1.0,***,0.33,***,0.17,,-0.14,,0.14,,0.03,,0.29,**,-0.19,*,0.47,***,0.43,***,0.03,,0.01,,0.45,***,-0.01,,-0.03,,0.05,,0.38,***,0.23,*,0.29,**,0.25,**
Amount of data,0.33,***,1.0,***,0.07,,-0.12,,-0.05,,0.12,,0.43,***,-0.05,,0.19,,0.45,***,0.24,*,-0.13,,0.13,,-0.16,,0.05,,-0.1,,0.24,*,0.13,,0.09,,0.38,***
Availability,0.17,,0.07,,1.0,***,0.16,,0.27,**,0.03,,-0.08,,-0.13,,0.41,***,0.03,,0.19,,0.17,,0.21,*,0.07,,0.0,,-0.33,***,-0.04,,0.07,,0.49,***,-0.1,
Believability,-0.14,,-0.12,,0.16,,1.0,***,0.09,,0.21,*,0.13,,-0.27,**,0.17,,0.12,,0.13,,0.22,*,0.29,**,-0.02,,0.4,***,-0.09,,0.25,**,0.31,**,0.08,,0.1,
Completeness,0.14,,-0.05,,0.27,**,0.09,,1.0,***,-0.12,,-0.16,,-0.24,*,0.3,**,0.06,,0.04,,0.12,,-0.01,,0.21,*,0.19,*,-0.05,,-0.0,,0.17,,0.23,*,-0.33,***
Conciseness,0.03,,0.12,,0.03,,0.21,*,-0.12,,1.0,***,0.7,***,-0.43,***,-0.08,,0.35,***,0.06,,0.11,,0.17,,-0.26,**,0.44,***,-0.07,,0.27,**,0.22,*,0.03,,0.39,***
Consistency,0.29,**,0.43,***,-0.08,,0.13,,-0.16,,0.7,***,1.0,***,-0.45,***,0.04,,0.55,***,0.13,,0.04,,0.23,*,-0.41,***,0.4,***,-0.15,,0.57,***,0.37,***,-0.03,,0.64,***
Currency,-0.19,*,-0.05,,-0.13,,-0.27,**,-0.24,*,-0.43,***,-0.45,***,1.0,***,-0.2,*,-0.4,***,0.02,,-0.08,,-0.17,,0.07,,-0.35,***,0.2,*,-0.48,***,-0.37,***,-0.24,*,-0.12,
Interlinking,0.47,***,0.19,,0.41,***,0.17,,0.3,**,-0.08,,0.04,,-0.2,*,1.0,***,0.39,***,0.27,**,0.07,,0.35,***,-0.1,,0.08,,-0.02,,0.28,**,0.32,***,0.54,***,0.2,*
Interpretability,0.43,***,0.45,***,0.03,,0.12,,0.06,,0.35,***,0.55,***,-0.4,***,0.39,***,1.0,***,0.02,,-0.01,,0.49,***,-0.15,,0.26,**,0.12,,0.55,***,0.3,**,0.29,**,0.57,***
Licensing,0.03,,0.24,*,0.19,,0.13,,0.04,,0.06,,0.13,,0.02,,0.27,**,0.02,,1.0,***,0.18,,0.34,***,-0.05,,-0.07,,-0.09,,0.04,,0.36,***,0.25,**,0.17,
Performance,0.01,,-0.13,,0.17,,0.22,*,0.12,,0.11,,0.04,,-0.08,,0.07,,-0.01,,0.18,,1.0,***,0.32,***,0.19,*,-0.01,,-0.31,***,0.01,,0.3,**,0.23,*,0.0,
Rep. Conciseness,0.45,***,0.13,,0.21,*,0.29,**,-0.01,,0.17,,0.23,*,-0.17,,0.35,***,0.49,***,0.34,***,0.32,***,1.0,***,0.21,*,-0.07,,-0.02,,0.32,***,0.4,***,0.32,***,0.31,**
Interoperability,-0.01,,-0.16,,0.07,,-0.02,,0.21,*,-0.26,**,-0.41,***,0.07,,-0.1,,-0.15,,-0.05,,0.19,*,0.21,*,1.0,***,-0.32,***,-0.02,,-0.36,***,-0.2,*,-0.17,,-0.51,***
Reputation,-0.03,,0.05,,0.0,,0.4,***,0.19,*,0.44,***,0.4,***,-0.35,***,0.08,,0.26,**,-0.07,,-0.01,,-0.07,,-0.32,***,1.0,***,0.02,,0.38,***,0.25,**,-0.03,,0.2,*
Security,0.05,,-0.1,,-0.33,***,-0.09,,-0.05,,-0.07,,-0.15,,0.2,*,-0.02,,0.12,,-0.09,,-0.31,***,-0.02,,-0.02,,0.02,,1.0,***,0.16,,-0.04,,-0.11,,0.06,
Understandability,0.38,***,0.24,*,-0.04,,0.25,**,-0.0,,0.27,**,0.57,***,-0.48,***,0.28,**,0.55,***,0.04,,0.01,,0.32,***,-0.36,***,0.38,***,0.16,,1.0,***,0.45,***,0.24,*,0.56,***
Verifiability,0.23,*,0.13,,0.07,,0.31,**,0.17,,0.22,*,0.37,***,-0.37,***,0.32,***,0.3,**,0.36,***,0.3,**,0.4,***,-0.2,*,0.25,**,-0.04,,0.45,***,1.0,***,0.27,**,0.29,**
Versatility,0.29,**,0.09,,0.49,***,0.08,,0.23,*,0.03,,-0.03,,-0.24,*,0.54,***,0.29,**,0.25,**,0.23,*,0.32,***,-0.17,,-0.03,,-0.11,,0.24,*,0.27,**,1.0,***,0.32,***
Timeliness,0.25,**,0.38,***,-0.1,,0.1,,-0.33,***,0.39,***,0.64,***,-0.12,,0.2,*,0.57,***,0.17,,0.0,,0.31,**,-0.51,***,0.2,*,0.06,,0.56,***,0.29,**,0.32,***,1.0,***
